Id,Title,ISBN,ISBN13,Edition,Publisher,Pages,Setting/bg,Setting/yr,Language,Awards,Published,First Published,Cover,Auther,Genres,Sub-Genres,Series,Series #
688391076,Love in the Time of Cholera,140003468X,9.7814E+12,,Vintage Books,348,(Colombia),,English,1,2003,1985,Paperback,Gabriel Garcí_a Márquez,Classics; Historical Fiction; Romance,,,
199907576,Moby-Dick,142437247,9.78014E+12,,Penguin,663,Ocean,,English,,2002,1851,Paperback,Herman Melville,Classics; Literature; Adventure,,,
683929109,Eclipse,316160202,9.78032E+12,1st,Little; Brown and Company,629,Washington (US),,English,2,2007,2007,Hardcover,Stephenie Meyer,Young Adult; Romance; Fantasy; Realistic Fiction; Paranormal,Vampires,Twilight,3
162839400,A Clockwork Orange,393312836,9.78039E+12,,W.W. Norton & Company,213,England (UK),,English,,1995,1962,Paperback,Anthony Burgess,Classics; Sci-fi,Dystopia,,
90276123,Romeo and Juliet,743477111,9.78074E+12,,Washington Square Press,283,,,English,,2004,1597,Mass Market Paperback,William Shakespeare,Classics; Play; Romance; Academic; Drama; Literature,School,,
156638199,Gone with the Wind,446675539,9.78045E+12,,Grand Central Publishing,1037,Georgia (US),,English,,1999,1936,Paperback,Margaret Mitchell,Classics; Historical Fiction; Romance,,,
288301827,Atlas Shrugged,452011876,9.78045E+12,,Plume,1168,,,English,1,1999,1957,Paperback,Ayn Rand,Classics; Philosophy,,,
683929110,Breaking Dawn,031606792X,9.78032E+12,1st,Little; Brown and Company,756,Washington (US),,English,1,2008,2008,Hardcover,Stephenie Meyer,Young Adult; Romance; Fantasy; Realistic Fiction; Paranormal,Vampires,Twilight,4
547718294,Jurassic Park,030734813X,9.78031E+12,,,480,(Costa Rica),1989,English,4,2006,1990,Mass Market Paperback,Michael Crichton,Sci-fi; Thriller; Adventure,,Jurassic Park,1
128394616,Emma,141439580,9.78014E+12,,Penguin,474,England (UK),,English,,2003,1815,Paperback,Jane Austen,Classics; Literature; Romance,,,
567384018,Cat's Cradle,140285601,9.78014E+12,,Henry Holt and Company,304,,,English,,1999,1963,Paperback,Kurt Vonnegut,Sci-fi; Classics,,,
556372917,Cloud Atlas,375507256,9.78038E+12,,Random House,509,,,English,,2004,2004,Paperback,David Mitchell,Sci-fi; Fantasy,Dystopia,,
